Churn,AccountWeeks,DataUsage,CustServCalls,DayMins,DayCalls,MonthlyCharge,OverageFee,RoamMins,ContractRenewal_1,DataPlan_1,interaction_1,interaction_2,interaction_3,interaction_4,interaction_5
1,87,0.0,5,151.0,83,45.0,10.99,9.7,True,False,3915.0,12533.0,106.603,0.0,0.0
0,81,0.11,1,175.5,67,53.1,12.47,10.2,True,False,4301.1,11758.5,127.194,5.841,0.11
0,141,0.0,1,126.9,98,37.0,9.0,8.0,True,False,5217.0,12436.2,72.0,0.0,0.0
1,121,1.57,3,198.4,129,56.7,3.77,5.8,True,True,6860.700000000001,25593.600000000002,21.866,89.019,4.71
0,68,0.0,3,148.8,70,47.0,12.33,12.1,True,False,3196.0,10416.0,149.19299999999998,0.0,0.0
0,125,0.0,1,229.3,103,55.0,8.87,12.0,True,False,6875.0,23617.9,106.44,0.0,0.0
0,174,0.0,1,192.1,97,48.0,8.5,11.4,True,False,8352.0,18633.7,96.9,0.0,0.0
0,116,3.13,2,268.6,83,92.3,8.91,11.6,True,True,10706.8,22293.800000000003,103.356,288.899,6.26
0,74,3.94,2,193.7,91,93.4,12.31,14.6,True,True,6911.6,17626.7,179.726,367.99600000000004,7.88
0,149,3.4,3,180.7,92,81.0,9.39,12.6,True,True,12069.0,16624.399999999998,118.31400000000001,275.4,10.2
0,38,0.0,2,131.2,98,37.0,8.15,8.2,True,False,1406.0,12857.599999999999,66.83,0.0,0.0
0,40,1.67,2,148.1,74,56.7,8.48,6.2,True,True,2268.0,10959.4,52.57600000000001,94.68900000000001,3.34
0,43,0.0,0,251.5,105,61.0,10.64,9.3,False,False,2623.0,26407.5,98.95200000000001,0.0,0.0
0,113,0.0,0,125.2,93,39.0,10.32,8.3,False,False,4407.0,11643.6,85.656,0.0,0.0
0,126,0.0,1,211.6,70,55.0,10.85,7.8,True,False,6930.0,14812.0,84.63,0.0,0.0
1,150,0.0,4,178.9,101,45.0,8.46,13.8,True,False,6750.0,18068.9,116.74800000000002,0.0,0.0
0,138,0.0,3,241.8,93,56.0,8.53,11.8,True,False,7728.0,22487.4,100.654,0.0,0.0
0,162,3.27,0,224.9,97,87.7,9.41,12.1,True,True,14207.4,21815.3,113.861,286.779,0.0
0,147,0.0,3,248.6,83,55.0,7.45,8.0,True,False,8085.0,20633.8,59.6,0.0,0.0
0,90,0.0,1,203.4,146,54.0,11.34,7.3,True,False,4860.0,29696.4,82.782,0.0,0.0
0,85,0.0,0,235.8,109,54.0,7.86,12.0,True,False,4590.0,25702.2,94.32000000000001,0.0,0.0
0,50,0.0,1,157.1,90,46.0,11.17,6.1,True,False,2300.0,14139.0,68.137,0.0,0.0
1,82,0.21,0,300.3,109,69.1,9.05,11.7,True,False,5666.2,32732.7,105.885,14.510999999999997,0.0
1,144,0.21,4,61.6,117,20.1,3.86,8.2,True,False,2894.4,7207.2,31.651999999999997,4.221,0.84
0,46,0.26,2,214.1,72,53.6,8.22,8.2,True,False,2465.6,15415.199999999999,67.404,13.936000000000002,0.52
0,70,0.3,1,170.2,98,46.0,7.76,15.0,True,False,3220.0,16679.6,116.39999999999999,13.799999999999999,0.3
0,144,0.0,1,201.1,99,60.0,15.18,13.2,True,False,8640.0,19908.899999999998,200.37599999999998,0.0,0.0
0,116,0.3,3,215.4,104,58.0,10.24,12.6,False,False,6728.0,22401.600000000002,129.024,17.4,0.8999999999999999
0,55,2.97,3,165.6,123,69.7,6.81,11.0,True,True,3833.5,20368.8,74.91,207.00900000000001,8.91
0,70,2.65,1,249.5,101,91.5,12.99,9.8,True,True,6405.0,25199.5,127.302,242.475,2.65
1,106,0.0,2,210.6,96,57.0,12.46,12.4,True,False,6042.0,20217.6,154.50400000000002,0.0,0.0
0,128,2.32,0,179.3,104,73.2,11.3,8.6,True,True,9369.6,18647.2,97.18,169.82399999999998,0.0
1,94,0.0,4,157.9,105,41.0,7.75,8.0,True,False,3854.0,16579.5,62.0,0.0,0.0
0,111,0.0,1,214.3,118,55.0,10.43,12.0,True,False,6105.0,25287.4,125.16,0.0,0.0
0,74,2.94,2,154.1,104,66.4,6.17,10.9,True,True,4913.6,16026.4,67.253,195.216,5.88
1,128,0.0,1,237.9,125,62.0,12.38,13.9,True,False,7936.0,29737.5,172.08200000000002,0.0,0.0
0,82,0.17,1,143.9,61,43.7,9.75,11.1,True,False,3583.4,8777.9,108.225,7.429000000000001,0.17
1,155,0.0,0,203.4,100,51.0,9.55,8.9,True,False,7905.0,20340.0,84.995,0.0,0.0
0,80,0.0,1,124.3,100,36.0,8.65,7.9,True,False,2880.0,12430.0,68.33500000000001,0.0,0.0
0,78,0.0,3,252.9,93,59.0,8.92,9.5,True,False,4602.0,23519.7,84.74,0.0,0.0
0,90,0.0,3,179.1,71,47.0,9.53,10.6,True,False,4230.0,12716.1,101.01799999999999,0.0,0.0
0,104,0.3,1,278.4,106,58.0,4.05,9.8,True,False,6032.0,29510.399999999998,39.69,17.4,0.3
0,73,0.0,0,160.1,110,46.0,10.67,13.0,True,False,3358.0,17611.0,138.71,0.0,0.0
0,99,0.0,4,198.2,87,52.0,10.37,8.7,True,False,5148.0,17243.399999999998,90.21899999999998,0.0,0.0
1,120,0.0,1,212.1,131,54.0,10.47,5.3,True,False,6480.0,27785.1,55.491,0.0,0.0
1,77,0.0,2,251.8,72,61.0,10.29,9.8,True,False,4697.0,18129.600000000002,100.842,0.0,0.0
0,98,1.19,4,161.2,114,60.9,12.61,4.4,True,True,5968.2,18376.8,55.484,72.47099999999999,4.76
0,108,0.34,0,178.3,137,50.4,9.45,14.6,True,False,5443.2,24427.100000000002,137.97,17.136,0.0
0,135,0.0,0,151.7,82,36.0,5.95,10.5,True,False,4860.0,12439.4,62.475,0.0,0.0
0,95,0.0,1,135.0,99,39.0,9.18,12.5,True,False,3705.0,13365.0,114.75,0.0,0.0
0,122,0.39,1,170.5,94,47.9,8.69,11.3,True,False,5843.8,16027.0,98.197,18.681,0.39
0,95,0.0,4,238.1,65,57.0,9.36,11.8,True,False,5415.0,15476.5,110.448,0.0,0.0
0,36,2.43,2,281.4,102,90.3,10.11,9.0,True,True,3250.7999999999997,28702.8,90.99,219.429,4.86
0,93,2.65,1,117.9,131,61.5,8.23,9.8,True,True,5719.5,15444.900000000001,80.65400000000001,162.975,2.65
0,141,2.73,1,148.6,91,64.3,6.56,10.1,True,True,9066.3,13522.6,66.256,175.539,2.73
0,157,0.0,3,229.8,90,52.0,7.4,9.6,True,False,8164.0,20682.0,71.04,0.0,0.0
0,120,0.0,1,165.0,100,56.0,15.86,8.3,True,False,6720.0,16500.0,131.638,0.0,0.0
0,103,0.0,2,185.0,117,51.0,11.17,12.6,True,False,5253.0,21645.0,140.742,0.0,0.0
0,98,0.0,4,161.0,117,44.0,9.55,12.1,True,False,4312.0,18837.0,115.555,0.0,0.0
0,125,0.0,1,126.7,108,40.0,10.3,13.3,True,False,5000.0,13683.6,136.99,0.0,0.0
0,63,0.0,1,58.9,125,25.0,8.48,9.4,True,False,1575.0,7362.5,79.712,0.0,0.0
1,36,5.4,0,196.8,89,110.0,12.75,20.0,False,True,3960.0,17515.2,255.0,594.0,0.0
0,64,0.29,1,162.6,83,43.9,7.62,14.2,True,False,2809.6,13495.8,108.204,12.730999999999998,0.29
1,74,0.21,1,282.5,114,69.1,11.0,9.4,True,False,5113.4,32205.0,103.4,14.510999999999997,0.21
0,112,2.7,2,113.7,117,60.0,7.88,10.0,True,True,6720.0,13302.9,78.8,162.0,5.4
0,97,0.0,2,239.8,125,60.0,10.74,8.7,True,False,5820.0,29975.0,93.43799999999999,0.0,0.0
0,46,0.21,1,210.2,92,58.1,11.37,13.1,True,False,2672.6,19338.399999999998,148.94699999999997,12.201,0.21
0,41,1.94,0,213.8,102,68.4,7.09,7.2,True,True,2804.4,21807.600000000002,51.048,132.696,0.0
0,121,0.0,3,190.7,103,49.0,9.18,9.8,True,False,5929.0,19642.1,89.964,0.0,0.0
0,193,0.0,1,170.9,124,41.0,6.62,11.6,True,False,7913.0,21191.600000000002,76.792,0.0,0.0
0,130,0.0,2,154.2,119,36.0,5.51,9.2,True,False,4680.0,18349.8,50.69199999999999,0.0,0.0
0,85,0.4,1,201.4,52,58.0,11.47,12.0,True,False,4930.0,10472.800000000001,137.64000000000001,23.200000000000003,0.4
1,162,0.0,4,70.7,108,26.0,7.88,9.1,True,False,4212.0,7635.6,71.708,0.0,0.0
1,61,1.73,4,187.5,124,62.3,7.33,6.4,True,True,3800.2999999999997,23250.0,46.912000000000006,107.779,6.92
0,92,0.0,2,91.7,90,33.0,9.69,9.2,True,False,3036.0,8253.0,89.14799999999998,0.0,0.0
0,131,2.57,3,214.2,115,76.7,8.09,9.5,True,True,10047.7,24633.0,76.855,197.119,7.709999999999999
0,90,0.0,3,145.5,92,44.0,10.89,10.9,True,False,3960.0,13386.0,118.70100000000001,0.0,0.0
0,75,0.0,1,166.3,125,42.0,7.91,6.1,True,False,3150.0,20787.5,48.251,0.0,0.0
0,78,0.0,1,231.0,115,59.0,11.52,9.5,True,False,4602.0,26565.0,109.44,0.0,0.0
0,82,0.0,4,200.3,96,52.0,10.06,7.1,True,False,4264.0,19228.800000000003,71.426,0.0,0.0
0,163,0.0,1,197.0,109,51.0,10.13,9.1,True,False,8313.0,21473.0,92.183,0.0,0.0
0,91,0.31,3,129.9,112,40.1,8.67,11.2,False,False,3649.1,14548.800000000001,97.104,12.431000000000001,0.9299999999999999
0,75,1.43,5,175.8,97,63.3,10.88,5.3,True,True,4747.5,17052.600000000002,57.664,90.51899999999999,7.1499999999999995
0,91,0.0,3,203.1,106,53.0,10.51,12.0,True,False,4823.0,21528.6,126.12,0.0,0.0
0,127,3.02,1,183.2,117,72.2,6.34,11.2,True,True,9169.4,21434.399999999998,71.008,218.044,3.02
0,113,2.75,2,205.0,101,75.5,7.6,10.2,True,True,8531.5,20705.0,77.52,207.625,5.5
0,110,0.0,1,148.5,115,49.0,13.82,12.4,True,False,5390.0,17077.5,171.368,0.0,0.0
0,120,2.84,0,200.3,68,81.4,11.02,10.5,True,True,9768.0,13620.400000000001,115.71,231.17600000000002,0.0
0,157,1.84,3,192.6,107,68.4,9.78,6.8,True,True,10738.800000000001,20608.2,66.50399999999999,125.85600000000002,5.5200000000000005
0,103,0.0,1,246.5,47,59.0,9.78,11.7,True,False,6077.0,11585.5,114.42599999999999,0.0,0.0
1,117,0.0,2,167.1,86,44.0,8.88,14.1,False,False,5148.0,14370.6,125.20800000000001,0.0,0.0
0,140,0.0,3,231.9,101,54.0,8.01,14.3,True,False,7560.0,23421.9,114.543,0.0,0.0
0,127,0.0,1,146.7,91,43.0,10.18,13.7,True,False,5461.0,13349.699999999999,139.46599999999998,0.0,0.0
0,83,0.26,1,271.5,87,67.6,10.82,11.7,False,False,5610.799999999999,23620.5,126.594,17.576,0.26
0,121,0.0,1,181.5,121,50.0,10.92,8.5,True,False,6050.0,21961.5,92.82,0.0,0.0
0,145,3.0,2,257.7,97,88.0,8.11,11.1,True,True,12760.0,24996.899999999998,90.02099999999999,264.0,6.0
0,113,0.0,1,193.8,99,52.0,11.07,10.6,True,False,5876.0,19186.2,117.342,0.0,0.0
0,117,0.0,1,102.8,119,36.0,10.34,10.1,True,False,4212.0,12233.199999999999,104.434,0.0,0.0
0,65,0.0,1,187.9,116,46.0,7.88,7.5,True,False,2990.0,21796.4,59.1,0.0,0.0
0,56,0.0,1,226.0,112,60.0,12.43,6.9,True,False,3360.0,25312.0,85.767,0.0,0.0
0,96,0.0,5,260.4,115,57.0,7.3,11.5,True,False,5472.0,29945.999999999996,83.95,0.0,0.0
0,151,0.0,0,178.7,116,56.0,14.61,9.8,True,False,8456.0,20729.199999999997,143.178,0.0,0.0
1,83,0.0,0,337.4,120,77.0,11.37,15.8,True,False,6391.0,40488.0,179.646,0.0,0.0
0,139,3.7,0,157.6,129,85.0,12.35,13.7,True,True,11815.0,20330.399999999998,169.195,314.5,0.0
0,6,0.0,1,183.6,117,54.0,12.84,10.2,True,False,324.0,21481.2,130.968,0.0,0.0
0,115,2.59,1,142.1,124,65.9,9.17,9.6,True,True,7578.500000000001,17620.399999999998,88.032,170.681,2.59
0,87,0.31,0,136.3,97,41.1,8.61,7.1,True,False,3575.7000000000003,13221.1,61.13099999999999,12.741,0.0
0,141,0.0,0,217.1,110,58.0,12.08,12.0,True,False,8178.0,23881.0,144.96,0.0,0.0
0,141,2.84,3,187.5,99,81.4,12.07,10.5,True,True,11477.400000000001,18562.5,126.735,231.17600000000002,8.52
0,62,0.0,1,98.9,103,29.0,6.77,12.2,True,False,1798.0,10186.7,82.594,0.0,0.0
0,146,0.0,1,206.3,151,48.0,7.43,6.1,True,False,7008.0,31151.300000000003,45.32299999999999,0.0,0.0
0,92,3.27,2,243.1,92,92.7,10.69,12.1,True,True,8528.4,22365.2,129.349,303.129,6.54
0,185,2.03,1,189.8,126,67.3,8.17,7.5,True,True,12450.5,23914.800000000003,61.275,136.61899999999997,2.03
0,148,0.39,1,202.0,102,59.9,12.16,10.9,True,False,8865.199999999999,20604.0,132.544,23.361,0.39
0,94,3.46,1,170.1,124,80.6,9.67,12.8,True,True,7576.4,21092.399999999998,123.77600000000001,278.876,3.46
0,32,0.0,0,230.9,87,56.0,9.37,6.3,True,False,1792.0,20088.3,59.03099999999999,0.0,0.0
0,68,0.0,1,237.1,105,60.0,11.18,13.2,True,False,4080.0,24895.5,147.576,0.0,0.0
0,64,2.86,2,182.1,91,74.6,8.49,10.6,True,True,4774.4,16571.1,89.994,213.35599999999997,5.72
0,25,0.14,3,119.3,87,40.4,10.58,10.5,True,False,1010.0,10379.1,111.09,5.656000000000001,0.42000000000000004
0,65,0.0,1,116.8,87,36.0,8.95,14.1,True,False,2340.0,10161.6,126.195,0.0,0.0
0,179,0.0,0,219.2,92,50.0,7.47,6.1,True,False,8950.0,20166.399999999998,45.56699999999999,0.0,0.0
0,94,0.0,2,252.6,104,58.0,8.45,11.1,True,False,5452.0,26270.399999999998,93.79499999999999,0.0,0.0
0,62,0.0,0,147.1,91,42.0,9.52,12.2,True,False,2604.0,13386.1,116.14399999999999,0.0,0.0
0,127,0.0,2,202.1,103,54.0,11.47,11.5,True,False,6858.0,20816.3,131.905,0.0,0.0
0,116,0.23,3,173.5,93,48.3,9.71,16.2,True,False,5602.799999999999,16135.5,157.30200000000002,11.109,0.6900000000000001
0,70,0.0,3,232.1,122,65.0,14.62,0.0,True,False,4550.0,28316.2,0.0,0.0,0.0
0,94,2.57,4,197.1,125,77.7,10.73,9.5,False,True,7303.8,24637.5,101.935,199.689,10.28
1,126,0.0,5,58.2,94,22.0,6.94,11.9,True,False,2772.0,5470.8,82.58600000000001,0.0,0.0
0,67,2.67,2,115.6,111,66.7,11.89,9.9,True,True,4468.900000000001,12831.599999999999,117.71100000000001,178.089,5.34
0,19,0.14,2,186.1,98,55.4,12.72,14.6,True,False,1052.6,18237.8,185.71200000000002,7.756,0.28
0,170,0.0,3,259.9,68,66.0,12.25,8.4,False,False,11220.0,17673.199999999997,102.9,0.0,0.0
0,73,0.0,1,214.3,145,60.0,13.43,10.8,True,False,4380.0,31073.5,145.044,0.0,0.0
0,106,0.0,1,158.7,74,33.0,3.22,10.2,True,False,3498.0,11743.8,32.844,0.0,0.0
0,93,0.19,2,271.6,71,67.9,11.47,10.9,True,False,6314.700000000001,19283.600000000002,125.02300000000001,12.901000000000002,0.38
0,164,0.27,1,160.6,111,44.7,8.16,9.0,True,False,7330.8,17826.6,73.44,12.069,0.27
0,51,0.0,1,232.4,109,56.0,9.37,9.1,True,False,2856.0,25331.600000000002,85.267,0.0,0.0
0,107,0.0,0,133.8,85,39.0,9.03,8.9,True,False,4173.0,11373.000000000002,80.367,0.0,0.0
0,130,0.35,1,176.9,109,41.5,4.54,9.5,True,False,5395.0,19282.100000000002,43.13,14.524999999999999,0.35
0,80,0.0,2,209.9,74,53.0,9.76,8.8,True,False,4240.0,15532.6,85.888,0.0,0.0
0,94,0.22,0,137.5,118,43.2,10.16,13.4,True,False,4060.8,16225.0,136.144,9.504000000000001,0.0
0,118,2.57,1,289.5,52,89.7,8.33,9.5,True,True,10584.6,15054.0,79.135,230.529,2.57
0,117,1.84,1,198.1,86,67.4,8.85,6.8,True,True,7885.800000000001,17036.6,60.17999999999999,124.01600000000002,1.84
0,78,0.0,0,149.7,119,41.0,9.11,9.7,True,False,3198.0,17814.3,88.36699999999999,0.0,0.0
1,208,0.33,2,326.5,67,74.3,8.82,10.7,True,False,15454.4,21875.5,94.374,24.519000000000002,0.66
1,131,3.73,4,292.9,101,104.3,9.99,13.8,False,True,13663.3,29582.899999999998,137.86200000000002,389.039,14.92
0,63,0.0,0,83.0,64,30.0,8.85,13.0,True,False,1890.0,5312.0,115.05,0.0,0.0
0,53,3.54,3,145.7,146,79.4,11.03,13.1,True,True,4208.200000000001,21272.199999999997,144.493,281.076,10.620000000000001
0,62,0.0,2,182.3,101,59.0,16.41,11.2,True,False,3658.0,18412.300000000003,183.792,0.0,0.0
0,97,0.0,3,218.0,86,53.0,9.2,6.4,True,False,5141.0,18748.0,58.879999999999995,0.0,0.0
0,105,0.0,2,140.6,109,40.0,8.93,6.8,True,False,4200.0,15325.4,60.724,0.0,0.0
0,157,0.0,1,152.7,105,48.0,12.88,9.4,True,False,7536.0,16033.499999999998,121.07200000000002,0.0,0.0
0,66,3.27,1,106.7,76,68.7,10.49,12.1,True,True,4534.2,8109.2,126.929,224.649,3.27
0,122,0.0,2,243.8,98,49.0,4.2,13.7,True,False,5978.0,23892.4,57.54,0.0,0.0
0,38,0.0,3,194.4,94,49.0,9.34,10.8,True,False,1862.0,18273.600000000002,100.872,0.0,0.0
0,106,0.0,3,213.9,95,50.0,7.6,12.2,True,False,5300.0,20320.5,92.71999999999998,0.0,0.0
0,99,0.0,3,217.2,112,58.0,12.34,15.8,True,False,5742.0,24326.399999999998,194.972,0.0,0.0
0,99,0.0,1,241.1,72,55.0,7.78,11.6,True,False,5445.0,17359.2,90.248,0.0,0.0
0,144,0.0,0,203.5,100,56.0,12.38,11.9,False,False,8064.0,20350.0,147.322,0.0,0.0
0,82,2.89,1,155.2,131,76.9,12.23,10.7,True,True,6305.8,20331.199999999997,130.861,222.241,2.89
0,86,3.29,1,167.6,139,71.9,5.65,12.2,True,True,6183.400000000001,23296.399999999998,68.93,236.55100000000002,3.29
1,70,0.0,2,226.7,98,58.0,11.41,17.6,False,False,4060.0,22216.6,200.81600000000003,0.0,0.0
0,93,0.0,3,179.3,93,46.0,8.93,11.5,True,False,4278.0,16674.9,102.695,0.0,0.0
0,93,0.31,0,151.4,89,45.1,9.32,10.9,True,False,4194.3,13474.6,101.58800000000001,13.981,0.0
0,120,0.0,3,180.0,80,50.0,11.21,4.7,True,False,6000.0,14400.0,52.687000000000005,0.0,0.0
1,136,0.0,1,250.2,121,66.0,13.36,13.0,True,False,8976.0,30274.199999999997,173.68,0.0,0.0
0,106,0.4,0,223.0,121,52.0,5.51,7.1,True,False,5512.0,26983.0,39.120999999999995,20.8,0.0
0,81,0.0,3,183.6,116,45.0,7.63,12.2,True,False,3645.0,21297.6,93.086,0.0,0.0
0,127,2.75,1,166.0,114,71.5,8.73,10.2,True,True,9080.5,18924.0,89.04599999999999,196.625,2.75
0,65,0.0,1,136.1,112,47.0,13.65,4.4,True,False,3055.0,15243.199999999999,60.06000000000001,0.0,0.0
0,35,0.32,2,149.3,113,49.2,12.11,8.9,True,False,1722.0,16870.9,107.779,15.744000000000002,0.64
0,88,0.0,2,65.4,97,26.0,8.41,13.8,True,False,2288.0,6343.8,116.058,0.0,0.0
0,65,0.0,1,213.4,111,57.0,11.73,2.7,True,False,3705.0,23687.4,31.671000000000003,0.0,0.0
0,123,0.0,3,206.9,85,56.0,12.24,7.7,True,False,6888.0,17586.5,94.248,0.0,0.0
0,126,2.59,2,186.2,78,73.9,9.48,9.6,True,True,9311.400000000001,14523.599999999999,91.008,191.401,5.18
0,104,3.59,4,280.2,136,102.9,11.03,13.3,True,True,10701.6,38107.2,146.699,369.411,14.36
0,45,3.21,0,196.6,84,93.1,15.66,11.9,True,True,4189.5,16514.399999999998,186.354,298.851,0.0
1,93,0.0,0,312.0,109,65.0,6.47,10.5,False,False,6045.0,34008.0,67.935,0.0,0.0
0,63,2.97,1,199.0,110,88.7,14.57,11.0,False,True,5588.1,21890.0,160.27,263.439,2.97
0,100,0.25,3,203.1,96,55.5,10.85,13.5,True,False,5550.0,19497.6,146.475,13.875,0.75
0,53,0.0,0,168.8,97,48.0,11.02,10.9,True,False,2544.0,16373.6,120.118,0.0,0.0
0,92,0.0,1,173.1,140,50.0,12.02,9.0,False,False,4600.0,24234.0,108.17999999999999,0.0,0.0
1,139,0.0,5,134.4,106,41.0,10.57,10.2,True,False,5699.0,14246.400000000001,107.814,0.0,0.0
0,110,2.43,2,202.6,103,69.3,5.94,9.0,True,True,7623.0,20867.8,53.46,168.399,4.86
0,110,0.31,3,74.5,117,33.1,10.04,9.8,True,False,3641.0,8716.5,98.392,10.261000000000001,0.9299999999999999
0,215,0.31,0,83.6,148,28.1,6.05,10.7,True,False,6041.5,12372.8,64.735,8.711,0.0
0,73,0.0,1,192.2,86,47.0,8.43,9.4,True,False,3431.0,16529.2,79.242,0.0,0.0
0,138,0.0,0,220.2,89,45.0,4.42,12.9,True,False,6210.0,19597.8,57.018,0.0,0.0
